Type,SKU,Name,Published,Is featured?,Visibility in catalog,Regular price,Sale price,Manage stock?,Stock,In stock?,Images,Meta: _cvd_source,Meta: _cvd_source_product_id
simple,CV-BIZ-112637,Grifo para fregadero doble GP 1311,1,0,visible,14,,1,2,1,https://biznecubano.com/images/small/tenants/1410/products/112637/rpo-product-cover.jpeg,biznecubano,112637
simple,CV-BIZ-112639,Grifo fregadero doble cuello flexible GP 1220,1,0,visible,15,,1,2,1,https://biznecubano.com/images/small/tenants/1410/products/112639/Tk9-product-cover.jpeg,biznecubano,112639
simple,CV-BIZ-112704,Grifo fregadero doble cuello cisne negro GP 1013,1,0,visible,18,,1,2,1,https://biznecubano.com/images/small/tenants/1410/products/112704/Eal-product-cover.jpeg,biznecubano,112704
simple,CV-BIZ-112707,Cerradura de pomo en blíster MP 001,1,0,visible,7,,1,6,1,https://biznecubano.com/images/small/tenants/1410/products/112707/Dtx-product-cover.jpeg,biznecubano,112707
simple,CV-BIZ-112710,"Válvula de paso mini HH 1/2 "" GPLP83 (hembra)",1,0,visible,4,,1,4,1,https://biznecubano.com/images/small/tenants/1410/products/112710/3DC-product-cover.jpeg,biznecubano,112710
simple,CV-BIZ-112711,"Válvula de paso miniHH 1/2"" GPLP83 (hembra-macho))",1,0,visible,4,,1,1,1,https://biznecubano.com/images/small/tenants/1410/products/112711/Zos-product-cover.jpeg,biznecubano,112711
simple,CV-BIZ-112712,"Válvula para jardin 1/2 "" GPLC012",1,0,visible,4,,1,7,1,https://biznecubano.com/images/small/tenants/1410/products/112712/NGb-product-cover.jpeg,biznecubano,112712
simple,CV-BIZ-113205,Protector Solar SPF 30,1,0,visible,8,,1,3,1,https://biznecubano.com/images/small/tenants/1410/products/113205/04x-product-cover.jpeg,biznecubano,113205
simple,CV-BIZ-113689,Bocina parlante,1,0,visible,170,,1,1,1,https://biznecubano.com/images/small/tenants/1410/products/113689/Arf-product-cover.jpeg,biznecubano,113689
simple,CV-BIZ-113690,Cocina de Gas 2 quemadores,1,0,visible,35,,1,2,1,https://biznecubano.com/images/small/tenants/1410/products/113690/YbK-product-cover.jpeg,biznecubano,113690
simple,CV-BIZ-113934,Toallas Cisne Blanco 40x70,1,0,visible,,,0,,1,https://biznecubano.com/images/small/tenants/1410/products/113934/Jsv-product-cover.jpeg,biznecubano,113934
simple,CV-BIZ-114040,Silla de playa DX,1,0,visible,35,,1,2,1,https://biznecubano.com/images/small/tenants/1410/products/114040/Bk7-product-cover.jpeg,biznecubano,114040
simple,CV-BIZ-114041,Carretón negro,1,0,visible,80,,1,1,1,https://biznecubano.com/images/small/tenants/1410/products/114041/KxH-product-cover.jpeg,biznecubano,114041
simple,CV-BIZ-114042,Mesita de cafe sencilla,1,0,visible,30,,1,6,1,https://biznecubano.com/images/small/tenants/1410/products/114042/I7Z-product-cover.jpeg,biznecubano,114042
simple,CV-BIZ-114274,Escritorio de 1 gavetas,1,0,visible,140,,1,0,0,https://biznecubano.com/images/small/tenants/1410/products/114274/jAJ-product-cover.jpeg,biznecubano,114274
simple,CV-BIZ-114275,Tabla de planchar,1,0,visible,45,,1,0,0,https://biznecubano.com/images/small/tenants/1410/products/114275/Qpj-product-cover.jpeg,biznecubano,114275
simple,CV-BIZ-114278,Tabla de planchar,1,0,visible,45,,1,1,1,https://biznecubano.com/images/small/tenants/1410/products/114278/Ugl-product-cover.jpeg,biznecubano,114278
simple,CV-BIZ-114280,Base para electrodomésticos,1,0,visible,23,,1,8,1,https://biznecubano.com/images/small/tenants/1410/products/114280/er8-product-cover.jpeg,biznecubano,114280
simple,CV-BIZ-114281,Cesta con tapa rosada,1,0,visible,12,,1,1,1,https://biznecubano.com/images/small/tenants/1410/products/114281/zRr-product-cover.jpeg,biznecubano,114281
simple,CV-BIZ-114285,Carrito metálico negro 4 Niveles,1,0,visible,35,,1,2,1,https://biznecubano.com/images/small/tenants/1410/products/114285/MUZ-product-cover.jpeg,biznecubano,114285
simple,CV-BIZ-114292,Carrito metálico plegable blanco 3 Niveles,1,0,visible,35,,1,1,1,https://biznecubano.com/images/small/tenants/1410/products/114292/SvP-product-cover.jpeg,biznecubano,114292
simple,CV-BIZ-115478,Juego de sábanas full (camera),1,0,visible,23,,1,0,0,https://biznecubano.com/images/small/tenants/1410/products/115478/iVj-product-cover.jpeg,biznecubano,115478
simple,CV-BIZ-115479,Soporte TV 14”-42”,1,0,visible,12,,1,2,1,https://biznecubano.com/images/small/tenants/1410/products/115479/Ko2-product-cover.jpeg,biznecubano,115479
simple,CV-BIZ-115480,Soporte TV 14”-55”,1,0,visible,20,,1,9,1,https://biznecubano.com/images/small/tenants/1410/products/115480/W6t-product-cover.jpeg,biznecubano,115480
simple,CV-BIZ-115751,Toalla Cisne Blanco 70x140 cm (gris),1,0,visible,18,,1,11,1,https://biznecubano.com/images/small/tenants/1410/products/115751/pGq-product-cover.jpeg,biznecubano,115751
